la_district_code,la_district_name,domain,rank
E06000052,Cornwall,Education,61
E06000053,Isles of Scilly,Education,151
E06000054,Wiltshire,Education,113
E06000055,Bedford,Education,74
E06000056,Central Bedfordshire,Education,95
E06000057,Northumberland,Education,89
E06000058,"Bournemouth, Christchurch and Poole",Education,102
E06000059,Dorset,Education,84
E06000060,Buckinghamshire,Education,133
E06000061,North Northamptonshire,Education,47
E06000062,West Northamptonshire,Education,80
E06000063,Cumberland,Education,48
E06000064,Westmorland and Furness,Education,110
E06000065,North Yorkshire,Education,112
E06000066,Somerset,Education,63
E08000001,Bolton,Education,43
E08000002,Bury,Education,83
E08000003,Manchester,Education,30
E08000004,Oldham,Education,10
E08000005,Rochdale,Education,18
E08000006,Salford,Education,26
E08000007,Stockport,Education,127
E08000008,Tameside,Education,44
E08000009,Trafford,Education,146
E08000010,Wigan,Education,60
E08000011,Knowsley,Education,6
E08000012,Liverpool,Education,21
E08000013,St. Helens,Education,51
E08000014,Sefton,Education,67
E08000015,Wirral,Education,88
E08000016,Barnsley,Education,17
E08000017,Doncaster,Education,15
E08000018,Rotherham,Education,27
E08000019,Sheffield,Education,64
E08000021,Newcastle upon Tyne,Education,58
E08000022,North Tyneside,Education,104
E08000023,South Tyneside,Education,56
E08000024,Sunderland,Education,25
E08000025,Birmingham,Education,16
E08000026,Coventry,Education,35
E08000027,Dudley,Education,37
E08000028,Sandwell,Education,1
E08000029,Solihull,Education,121
E08000030,Walsall,Education,7
E08000031,Wolverhampton,Education,19
E08000032,Bradford,Education,9
E08000033,Calderdale,Education,76
E08000034,Kirklees,Education,62
E08000035,Leeds,Education,77
E08000036,Wakefield,Education,22
E08000037,Gateshead,Education,53
E09000001,City of London,Education,152
E09000002,Barking and Dagenham,Education,24
E09000003,Barnet,Education,140
E09000004,Bexley,Education,96
E09000005,Brent,Education,54
E09000006,Bromley,Education,142
E09000007,Camden,Education,131
E09000008,Croydon,Education,100
E09000009,Ealing,Education,97
E09000010,Enfield,Education,42
E09000011,Greenwich,Education,107
E09000012,Hackney,Education,118
E09000013,Hammersmith and Fulham,Education,144
E09000014,Haringey,Education,79
E09000015,Harrow,Education,124
E09000016,Havering,Education,82
E09000017,Hillingdon,Education,75
E09000018,Hounslow,Education,72
E09000019,Islington,Education,117
E09000020,Kensington and Chelsea,Education,145
E09000021,Kingston upon Thames,Education,147
E09000022,Lambeth,Education,130
E09000023,Lewisham,Education,129
E09000024,Merton,Education,138
E09000025,Newham,Education,31
E09000026,Redbridge,Education,109
E09000027,Richmond upon Thames,Education,153
E09000028,Southwark,Education,132
E09000029,Sutton,Education,136
E09000030,Tower Hamlets,Education,98
E09000031,Waltham Forest,Education,93
E09000032,Wandsworth,Education,148
E09000033,Westminster,Education,139
E10000003,Cambridgeshire,Education,123
E10000007,Derbyshire,Education,81
E10000008,Devon,Education,94
E10000011,East Sussex,Education,70
E10000012,Essex,Education,68
E10000013,Gloucestershire,Education,115
E10000014,Hampshire,Education,122
E10000015,Hertfordshire,Education,126
E10000016,Kent,Education,69
E10000017,Lancashire,Education,91
E10000018,Leicestershire,Education,116
E10000019,Lincolnshire,Education,50
E10000020,Norfolk,Education,28
E10000024,Nottinghamshire,Education,87
E10000025,Oxfordshire,Education,119
E10000028,Staffordshire,Education,86
E10000029,Suffolk,Education,55
E10000030,Surrey,Education,141
E10000031,Warwickshire,Education,105
E10000032,West Sussex,Education,101
E10000034,Worcestershire,Education,92
E06000001,Hartlepool,Health,5
E06000002,Middlesbrough,Health,10
E06000003,Redcar and Cleveland,Health,27
E06000004,Stockton-on-Tees,Health,31
E06000005,Darlington,Health,42
E06000006,Halton,Health,17
E06000007,Warrington,Health,80
E06000008,Blackburn with Darwen,Health,20
E06000009,Blackpool,Health,1
E06000010,"Kingston upon Hull, City of",Health,18
E06000011,East Riding of Yorkshire,Health,117
E06000012,North East Lincolnshire,Health,54
E06000013,North Lincolnshire,Health,64
E06000014,York,Health,106
E06000015,Derby,Health,43
E06000016,Leicester,Health,51
E06000017,Rutland,Health,148
E06000018,Nottingham,Health,11
E06000019,"Herefordshire, County of",Health,109
E06000020,Telford and Wrekin,Health,45
E06000021,Stoke-on-Trent,Health,9
E06000022,Bath and North East Somerset,Health,137
E06000023,"Bristol, City of",Health,63
E06000024,North Somerset,Health,120
E06000025,South Gloucestershire,Health,134
E06000026,Plymouth,Health,46
E06000027,Torbay,Health,28
E06000030,Swindon,Health,107
E06000031,Peterborough,Health,59
E06000032,Luton,Health,60
E06000033,Southend-on-Sea,Health,66
E06000034,Thurrock,Health,91
E06000035,Medway,Health,72
E06000036,Bracknell Forest,Health,149
E06000037,West Berkshire,Health,142
E06000038,Reading,Health,90
E06000039,Slough,Health,127
E06000040,Windsor and Maidenhead,Health,152
E06000041,Wokingham,Health,151
E06000042,Milton Keynes,Health,93
E06000043,Brighton and Hove,Health,79
E06000044,Portsmouth,Health,57
E06000045,Southampton,Health,35
E06000046,Isle of Wight,Health,37
E06000047,County Durham,Health,13
E06000049,Cheshire East,Health,114
E06000050,Cheshire West and Chester,Health,85
E06000051,Shropshire,Health,105
E06000052,Cornwall,Health,87
E06000053,Isles of Scilly,Health,153
E06000054,Wiltshire,Health,128
E06000055,Bedford,Health,77
E06000056,Central Bedfordshire,Health,129
E06000057,Northumberland,Health,61
E06000058,"Bournemouth, Christchurch and Poole",Health,86
E06000059,Dorset,Health,123
E06000060,Buckinghamshire,Health,147
E06000061,North Northamptonshire,Health,82
E06000062,West Northamptonshire,Health,112
E06000063,Cumberland,Health,49
E06000064,Westmorland and Furness,Health,116
E06000065,North Yorkshire,Health,122
E06000066,Somerset,Health,101
E08000001,Bolton,Health,41
E08000002,Bury,Health,52
E08000003,Manchester,Health,4
E08000004,Oldham,Health,29
E08000005,Rochdale,Health,16
E08000006,Salford,Health,14
E08000007,Stockport,Health,74
E08000008,Tameside,Health,23
E08000009,Trafford,Health,102
E08000010,Wigan,Health,38
E08000011,Knowsley,Health,3
E08000012,Liverpool,Health,2
E08000013,St. Helens,Health,12
E08000014,Sefton,Health,39
E08000015,Wirral,Health,24
E08000016,Barnsley,Health,7
E08000017,Doncaster,Health,40
E08000018,Rotherham,Health,15
E08000019,Sheffield,Health,44
E08000021,Newcastle upon Tyne,Health,34
E08000022,North Tyneside,Health,50
